RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
714015|86287|79832|||0|0|0|0|0|0|0|0|0|0|||||
715921|41046|77136|||0|0|65000|65000|0|0|0|0|0|0|||||
723413|32033|43490|||0|0|0|0|0|0|0|0|0|0|||||
719408|2744294|3080886|0||0||34000|34000|0|0|0||0||||||
730072|25539|18933|||0|0|0|0|0|0|0|0|0|0|||||
707618|114230|151192|0||0||1356|2207|0|0|0||0||||||
713091|206861|275724|||0|0|88697|90585|0|0|471|400|0|0|||||
732641|43076|48956|||0|0|0|0|0|0|0|0|601|354|||||
723080|11507|11432|||0|0|0|0|0|0|0|0|0|0|||||
710324|1868227|2084822|0||5548589|5716862|119130|114160|0|0|27639|37973|0||||||
705317|1724777|1626580|||||196203|193692|0|0|||||||||
711415|541571|516698|||0|0|4681|4681|0|0|0|0|0|0|||||
723014|8199|13604|||0|0|0|0|0|0|0|0|0|0|||||
720001|69496|74017|||0|0|0|0|0|0|0|0|0|0|||||
715476|68828|74635|||0|0|0|0|0|0|0|0|0|0|||||
722597|37977|37013|||0|0|0|0|0|0|0|0|0|0|||||
713016|5745707|3183773|557192|2111660|18067798|26096456|11387597|10999508|0|0|956499|1126299|0|0|||||
725536|53190|126707|||0|0|2500|2500|0|0|0|0|0|0|||||
720465|932474|994364|||||||0|0|||||||||
718395|83927|198176|||0|0|0|0|0|0|0|0|0|0|||||
716897|20039|13322|||0|0|1112|1112|0|0|0|0|0|0|||||
726284|151354|145974|||0|0|0|0|0|0|0|641|0|0|||||
730299|855187|1148257|0|0|0|0|2393452|1707492|0|0|0|0|0|0|||||
710302|1139168|955808|114750|123045|0|0|448353|429373|0|0|5351|5892|0|0|||||
737183|36723|40512|||0|0|0|0|0|0|0|0|0|0|||||
719831|41242|45263|||0|0|6491|5938|0|0|116|116|0|0|||||
726472|31989|17635|||0|0|204|204|0|0|539|539|0|0|||||
711977|170745|174266|||37764|33049|15375|15060|0|0|||||||||
706688|38286|40317|||0|0|0|0|0|0|0|0|0|0|||||
713787|11150|8842|||0|0|0|0|0|0|0|0|0|0|||||
715151|202220|209474|||95803|103258|0|0|0|0|3107|3440|0|0|||||
720662|14692|23261|||0|0|0|0|0|0|0|0|0|0|||||
713227|40214|35321|||0|0|0|0|0|0|0|0|0|0|||||
713293|130389|113924|||||22280|22800|0|0|||||||||
710047|91033|106653|||0|0|0|0|0|0|0|0|0|0|||||
726271|12410|17715|||0|0|227|76|0|0|0|0|0|0|||||
713489|9715|18343|||0|0|0|0|0|0|0|0|0|0|||||
706540|166919|207926|||0|0|0|0|0|0|0|0|0|0|||||
711640|196145|232459|||0|0|0|0|0|0|0|0|0|0|||||
722890|1462002|1879514|||6887728|8913482|76416|57231|0|0|0||||||||
