RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
532426|70431|0|0|||0|||0||24000||||
559533|6995|0|0|||3|||0||0||||
536152|29397|0|0|||2|||0||221||||
541332|82541|0|0|||9|||0||0||||
548221|1089822|0||0||0|0|0|0||0|0|0||
537009|119850|0|0|||271|||0||0||||
541019|2080611|0|0|0|0|16001|0|9600|0|0|13151|0|0|0|346
534044|273323|0|0|0|0|5848|0|0|0|0|10774|0|0|0|0
551170|53297|0|0|||10|||2175||8069||||
556006|28722|0|0|||0|||0||467||||
535804|54954|0|0|||0|||0||0||||
557353|9938|0|0|||0|||0||0||||
549092|177371|0||0||0|0|0|0||17196|0|0||0
533287|0|0|0|||0|||0||142200||||
543367|38370|||||275|||||||||
548522|49864|0|9027|||0|||0||999||||
533716|0|0|0|0||0|0|0|0||435799|0|0||30
545218|779041|0|1883630|12836|383319|49692|1020|23625|4756381|35518|104660|83689|0||44777
540705|28675|0|0|||42|||0||1044||||
551084|137387|0|0|||1062|||0||0||||
543960|29594|0|0|||0|||0||399||||
546690|34930|0|0|||5|||1010||18721||||
532476|1647138|0|338943|0|0|24456|0|105790|0|0|117320|0|2354|10257|34042
530370|1558772|0|0|0||965|0|0|0||219221|0|0||25888
547791|168790|0|0|||0|||6365||2966||||
545834|25934|0|0|||991|||25934||0||||
543801|35559|0|0|||225|||0||0||||
547871|10822|0|0|||0|||0||0||||
541527|173125|0|0|||425|||0||0||||
549760|1077276|0|18268|0||2527|0|10000|0||0|0|0||
551491|15052|0|0|||0|||0||0||||
534917|423583|0|0|1295|0|271|0|0|21392|0|231174|0|0||0
530169|1595115|136280|10727231|0||461|213701|116250|25252||1254|0|0||1254
546168|10400|0|0|||59|||0||681||||
552146|10134|0|0|||1|||0||1246||||
541796|25208|||||12|||||||||
554418|0|17261|0|||0|||0||15081||||
549697|34015||||||||||||||
540397|12435|0|0|||0|||0||1232||||
539293|704548|0|803405|0|0|25454|0|0|0|0|5590|0|0||5590
530308|126642|0|0|||2000|||0||0||||
543914|4389739|0|0|2073|0|4207|0|0|1120|0|23398|0|0||23398
541864|72920|0|0|||479|||0||0||||
536976|129096|0|0|||168|||0||35965||||
555280|495252|0||0||0|0|14400|0||235|0|0||235
550087|0|746354||0||0|0|0|0||0|0|0||
536069|173109|0|0|||253|||2637||5134||||
534864|260394|0||92|17956|38593|0|11471|17735||200401|0|0||3842
541885|50625|0|0|||1984|||0||3170||||
540530|49860|0|0|||0|||0||0||||
535382|41065|0|0|||0|||2202||23503||||
