RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
514202|499999|24986|13307|22141|317662|120186|26689|8064|0||36963|0|365454|74584|833|176297|0|0|0||256450|120104|82|28962|91224||27933|16132|9854|4694|62772|||
508976|||1109|||||||||||3700||||||2053||||||||||||7356||650
515992|||500||||||||||0|12314|0|0|0|||8614|6007|||||||||||10183||450
511019|159971|384|1000|68359|24811|47784|0|0|0||21625|0|48388|161271||97541|||0||38887|47559|225|||||384|1000|48265|4717|||
510231|||0||||||||||0|34133|0|0|0|||4699|0|||0||||||||5651||640
532581|||0||||||||||0|33280|0|0|0|||43190|0|||||||||||0||2020
522068|||3125||||||||||43542|10700|0|0|0|||1596|0|||0||||||||1833||0
517356|||1488||||||||||0|28390|536|0|0|||26147|2453|||||||||||6204||0
527592|261647|0|52069|70306|5341|2672|0|0|0||4061|2252033|1551|23172|||0|0|0||285528|2443|229||||||23516|||||
521839|194271|54583|4260|48445|242605|0|0|0|257867||16697|0|73760|178754|111745|273680|||0||127695|0|||||88228|8283|4260|23324|99952|||
504520|61856|0|15347|474545|453480|52628|0|0|0||0|0|460444|113196|13353|176634||4653|0||116658|48355|4273|27862|24766||||15347|271250||||
522281|9119|0|500|14481|9119|10216|0|0|0||1270|0|13907|6009|0|2705|5000|0|0||2981|10216||10037|179||1898|0|500|9716|1898|||
512755|||1860||||||||||43973|123377|0|0|0|||48348|0|||0||||||||3374||29082
518800|||550||||||||||47594|5944|0|0|0|||2725|0|||||||||||720||0
519356|||1158||||||||||4509|5600|0|0|0|||6833|0|||515||||||||1493||0
514174|||0||||||||||0|11657|0|0|0|||293|0|||||||||||437||0
521767|||341||||||||||3550|15414|636|0|0|||2058|0|||1542||||||||3860||0
510938|||0||||||||||0|3235|0|0|0|||1047|0|||341||||||||239||0
517745|||||||||||||133432|9750||||||2625||||||||||||1220||
528459|||500||||||||||0|8206|0|0|0|||2617|0|||0||||||||805||0
512270|||0||||||||||8554|47498|0|60463|0|||0|36497|||0||||||||45409||3437
518075|381954|34333|14056|15140|350928|83723|0|4446|0||58716|0|940268|11453|6934|19018|0|0|0||404500|61079|22644|77157|77270||84025|12052|13657|7796|47806|||
503724|14783|0|600|40085|89099|20248|13200|1092|0||7943|0|54446|51563||87176|0||0||31850|20248||15634|4614||||600|33391|6915|||
505348|183224|94188|13881|109091|167107|0|0|0|0||28830|0|508421||39887|77504|0|0|0||340423|0|||||17416||13881|62902|132868|||
526649|||0||||||||||77579|11206|0|0|0|||35533|0|||||||||||2420||0
515140|||0||||||||||115966|28811|0|0|0|||38305|0|||||||||||848||0
515371|194756|5808|36655|102761|77129|75033|0|1023|0||29808|0|210886|161035|2336|148952|||0||68841|75033||56567|18466|0|26650|3164|30345|16567|23531|||
513385|99856|6631|14359|43818|239372|62391|0|0|0||52939|0|135149|158689|4005316|116354|0||0||35216|62495|-104|54186|8205|0|16638|1572|9300|17724|36073|||
521951|||0||||||||||31617|1370|0|0|0|||6448|0|||0||||||||2468||0
532921|||0||||||||||35711|2280|0|0|0|||4600|1934|||||||||||2694||0
512295|||169||||||||||301|0|0|0|0|||7|0|||||||||||18980||0
518198|||222||||||||||6084|8148|0|0|0|||4704|0|||||||||||4568||0
525202|||0||||||||||24120|50498|0|35102|0|||51255|12542|||||||||||1536||4025
494587|||0||||||||||0|90|0|0|0|||1093|0|||||||||||0||0
504791|104360|21|3990|86833|66678|25955|0|12763|3346||10073|0|55105|86485|25715|85590||3721|0||32686|23970|1985|18191|7765|0|9796|21|3458|25083|11131|||
511574|||0||||||||||935|9356|0|0|0|||694|0|||687||||||||1840||0
505038|21254|0|2738|105507|108417|32149|21566|0|43040||9606|7325|58664|104822|1658232|44579|||0||40057|32149|||||3254||2738|65450|3595|||
508578|||87||||||||||275|2847|831|0|0|||7442|65|||||||||||626||0
520814|||0||||||||||0|4750|0|0|0|||10367|0|||0||||||||155||0
522538|||0||||||||||3764|17087|0|0|0|||1343|0|||0||||||||1281||0
526162|||2430||||||||||295|12425|0|0|0|||11014|3246|||||||||||3430||1944
522798|||400||||||||||52780|12391|0|1389|0|||29043|12017|||||||||||8286||3305
514792|||3067||||||||||0|2800|0|0|0|||4718|200|||||||||||99||400
501996|||0||||||||||12180|851|0|0|0|||0|0|||||||||||170||3027
517387||||||||||||||||||||||||||||||||||
521656|63534|0|25775|71482|160815|43460|0|0|0||18851|0|122098|138733||115397|||0||32079|43935|-475|37023|6437||2457|0|0|35704|7619|||
498818|542100|10298|10298|112609|136322|190980|0|0|0||109936|0|0|351462|605840|246607|||27614||168019|190980||128580|62400|620820|0|0|0|61938|1006|||
509168|||1937||||||||||0|10314|0|0|0|||22456|0|||||||||||196||0
528506|||208||||||||||2809|10653|0|0|0|||5565|0|||||||||||3062||0
528302|||1691||||||||||9478|11566|0|0|0|||0|0|||||||||||7114||1800
526871|17606|508|0|16697|43152|10631|0|0|0||9583|0|146330|27594|1996|0|0|0|0||6735|0|10631|8644|1987||0|0|0|13034|19968|||
526185|||25||||||||||100|2089|0|0|0|||311|0|||||||||||1973||0
514758|||500||||||||||88405|37928|0|5390|0|||17153|5255|||||||||||31860||23890
515978|81393|0|13543|504|497527|85313|0|0|0||39339|0|1331|82318|1017|0|0|0|0||146479|85313||29865|55448||9295|0|11997|504|48225|||
503670|486202|0|900|246511|54648|56467|0|0|0||28626|0|164367|167347|1892|219340|0||97211||65800|56467|||||24||900|67386||||
520827|49344|5244|7845|70349|138397|36714|0|0|0||24588|0|89777|122707|191061|115655|0|0|0||53999|36785|-71||||2147|0|7845|26031|8119|||
514989|1486020|55000|10000|1652518|174122|587956|0|0|0||119112|0|1055553|926772|2804246|1334399|0|0|0||265952|577104|10852|495882|92074|0|73025|0|0|154035|49841|||
508395|||0||||||||||0|35171|0|0|0|||68739|64403|||||||||||1487||1311
518789|||7727||||||||||0|28451|210|6946|0|||1645|0|||1645||||||||6796||0
523588|||0||||||||||0|34997|0|0|0|||10680|12300|||||||||||3439||4700
503521|523415|6733|123294|534334|68227|161880|50876|0|0||67479|0|422518|115128|2154148|486580|0||0||298045|169413|-7533|66728|146028||31806|0|4149|168519|0|||
519261|148219|10072|16528|16584|239395|75037|0|4013|0||27383|0|239207|227132|4487|148182|||0||51131|75037|||||29633|2800|8756|3451|38444|||
505574|58783|2000|6300|122732|201999|64667|0|0|5736||26483|0|171506|194797|0|95470|0|0|0||47894|64366|301|56407|17256|0|985|2000|6300|46656|4494|||
514550|||0||||||||||34014|2100|0|0|0|||97|0|||0||||||||848||1850
519358|76550|20609|1235|426|64627|21656|0|0|0||0|0|98475|118055|||||0||11825|0|21656||||0|0|0|0|0|||
518522|324447|0|8745|63616|57763|111174|2569|667|0||36133|0|163046|198570|8009|185599||3066|0||47451|111174||93491|17683||32798|0|3745|22648|8793|||
523954|||0||||||||||39708|300|0|0|0|||1023|0|||||||||||106||0
540981|||0||||||||||0|9897|0|2677|0|||3656|0|||3656||||||||0||0
521074|||0||||||||||0|28992|0|0|0|||4504|0|||||||||||3553||0
528218|0|3253|0|36245|71548|8294|83745|0|0||7415|0|175326|56888|0||0||0||323|8294||8177|118|0|0|3253|0|36245|6042|||
523776|4519|888|18543|189637|2693|0|0|0|25436||0|0|175359|3851||16000|||0|||0||0|0||4519|500|18153|29290||||
527771|||0||||||||||3929|12111|0|0|0|||3126|0|||1097||||||||2157||0
