OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
106613|1101|0|MONTH|27.00|31.75|368793
121372|1103|537|New Member|537|537|381967
121376|1105|0||0|0|381967
121375|1102|.50|Hour|.50|.50|381967
121374|1104|0||0|0|381967
121373|1101|49|Month|49|49|381967
100277|1103|35.00||||362991
100281|1105|||||362991
100280|1102|||||362991
100279|1104|||||362991
100278|1101|2 HOURS WAGES|MONTH|10.50|64.00|362991
138750|1103|50.00 - 750.00|Member|50.00|750.00|402580
138754|1105|0|N/A|||402580
138753|1102|0|N/A|||402580
138752|1104|0|N/A|||402580
138751|1101|16.50 - 62.50|Month|16.50|62.50|402580
130346|1103|100.00|N/A|||385054
130350|1105|0|N/A|||385054
130349|1102|0|N/A|||385054
130348|1104|0|N/A|||385054
130347|1101|31.00|month|||385054
137388|1103|||||401080
137392|1105|||||401080
137391|1102|||||401080
137390|1104|||||401080
137389|1101|2.25 HOURS|MEMBER PER MONTH|||401080
133891|1105|||||390576
133890|1102|||||390576
133889|1104|||||390576
133888|1101|40|month|||390576
133887|1103|||||390576
103414|1103|||100|300|367484
103418|1105|||||367484
103417|1102|||||367484
103416|1104|||||367484
103415|1101|0|month|6|27|367484
113652|1103|700|person|||376497
113656|1105|0||||376497
113655|1102|.88|hour|||376497
113654|1104|0||||376497
113653|1101|27|month|||376497
125392|1103|$5.00-$250|Once|||383705
125396|1105|N/A||||383705
125395|1102|N/A||||383705
125394|1104|$0.50|Once|||383705
125393|1101|$19-$74|Month|||383705
110394|1103|||||372186
110398|1105|||||372186
110397|1102|4%||||372186
110396|1104|||||372186
110395|1101|24|MONTH|||372186
104289|1103|0|N/A|||367993
104293|1105|0|N/A|||367993
104292|1102|1 1/2%|WAGES|0|0|367993
104291|1104|0|N/A|||367993
104290|1101|0|MONTH|6.00|18.00|367993
113448|1103|50.00||||375856
113452|1105|NA||||375856
113451|1102|NA||||375856
113450|1104|NA||||375856
113449|1101|2HRS PAY|MONTH|||375856
115169|1103|0|MONTH|0|0|378060
115173|1105|0|MONTH|0|0|378060
115172|1102|0|MONTH|0|0|378060
115171|1104|0|MONTH|0|0|378060
115170|1101|0|MONTH|92.50|95.50|378060
123855|1103|||||383013
123858|1105|||||383013
123857|1104|||||383013
123856|1101|13.00|MO|13.00|13.00|383013
103859|1103|1000/150|per year|none|none|367836
103863|1105|0|none|none|none|367836
103862|1102|0|none|none|none|367836
103861|1104|0|none|none|none|367836
103860|1101|36.60
37.20|per month|none|none|367836
118891|1103|||||380491
118895|1105|||||380491
118894|1102|||||380491
118893|1104|||||380491
118892|1101|38.93|MONTH|18.93|38.93|380491
112897|1103|10.00|one time fee|0|0|374979
112900|1105|0|0|0|0|374979
112899|1104|0|0|0|0|374979
112898|1101|1.5|Gross per month|0|0|374979
110773|1103|172.00|n/a|0|0|372460
110777|1105|5.00|week|0|0|372460
110776|1102|3%|gross wages|na|na|372460
110775|1104|1.00|na|0|0|372460
110774|1101|na|na|8.40|36.00|372460
135301|1103|||||394155
135305|1105|||||394155
135304|1102|||||394155
135303|1104|||||394155
135302|1101|2.25 HRS|MONTH|||394155
133013|1103|300|N/A|||387445
133017|1105|N/A|N/A|||387445
