RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
473432|43936|0|0|||280|||1400||4185||||
488877|233265|0||825||2416|0|5400|7367||6636|0|0||0
477021|260350|0||0||360|0|7866|0||0|0|37511||
500615|453279|0|0|230||5264|0|1700|0|0|16217|0|12841||2290
476131|159013|0|0|||1997|||0||427||||
477934|34845|0|0|||32|||0||0||||
470873|18212|0|0|||0|||0||2560||||
472556|5324|0|0|||4|||0||0||||
495140|247327|0|0|0||2387|0|0|0|0|3607|0|0|0|3607
479046|1528597|0||5815|68082|102068|0|197734|25388|0|531848|0|0|68082|439005
497782|7690|0|0|||0|||0||7940||||
493049|30448|0|0|||15806|||0||9341||||
495829|50834|0|0|||1049|||0||117||||
474661|135089|0|0|||0|||0||35324||||
477189|0|114902|0|||289|||0||0||||
470381|41921|0|0|||1317|||0||160||||
480349|631201|0|0|0||15083|0|0|48475||5016|0|0|7000|5016
477911|34514|0|0|||145|||0||0||||
476108|71004|0|0|||0|||0||2262||||
470740|711580|0|0|0||5853|0|25500|0|0|561|0|44973|0|561
504200|36433|0|0|||184|||0||0||||
479149|18021|0|0|||288|||0||2085||||
491768|49893|0|0|||524|||900||12297||||
474167|9838|0|0|||0|||0||0||||
500627|18415||||||||||||||
493163|75812|0|0|||338|||0||9439||||
489002|16905|0|0|||2678|||0||501||||
498877|1373524|0|21000|0||1200|1846|164543|33639||58554|0|4353||19025
461591|2335707|0||0||9|0|0|0|15788|166750|0|0||161250
476344|104807|0|0|||203|||2481||166||||
470728|246340|0||0||1901|0|0|0||240455|0|0||5122
497325|132784|0|0|||17|||0||5365||||
469105|47526|0|0|||2968|||0||0||||
491717|18150|0|0|||59|||0||0||||
480056|1224762|34175|0|0||5848|0|7200|6432|0|47503|0|0||
477079|209002|41705|0|0||190|0|0|15781|0|0|0|0|0|0
500886|52083|0|0|||0|||162||3220||||
479095|652572|0|0|0||2855|0|2700|8709|0|78985|0|0|0|2087
474998|21250|0|0|||0|||0||0||||
481193|55557|||||1652|||||||||
504004|8454|||||813|||||||||
473940|48424|0|0|||268|||240||9575||||
483592|61548|||||32|||||1229||||
474184|11386|||||431|||||||||
471229|3123|0|0|||1|||0||964||||
470833|308797|0|0|10||41|0|0|0|0|340384|0|0||1369
483268|29354|0|34030|||8512|||0||21361||||
476941|133122|0|0|||0|||0||70730||||
477393|8246|0|0|||2|||0||2314||||
471390|14948|0|0|||37|||0||2686||||
489286|3556661|0|3200|4580||7358|0|0|17988|0|46931|0|72||9006
489249|8838197|0|7606|0||6855|2816|119153|0|0|511153|0|0|0|10712
494401|26877|0|0|||12|||0||0||||
474302|3551|0|0|||0|||0||2270||||
492630|12451|0|0|||38|||0||0||||
478301|73715|0|0|||54|||0||16038||||
489619|30316|0|0|||504|||0||174557||||
496581|0|84627|0|||0|||0||5000||||
476702|61281|0|0|||904|||0||10119||||
481046|5681|0|0|||7|||0||0||||
510764|4756406|0||4677||9513|0|0|2722|360173|264754|0|70479||61454
492070|24035|0|0|||0|||0||0||||
473613|472611|0|0|115||76|0|30800|0|0|186808|0|0|0|87766
