OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
29263|BANK OF EDWARDSVILLE|26840|0|7875|0|18965|648939
29264|0|0|0|0|0|0|648945
29265|NONE|0|0|0|0|0|648946
29266|FORD MOTOR CREDIT|13864|0|4671|0|9193|648956
29267|ALLY BANK|52981|0|9892|0|43089|648956
29268|ALLY BANK|27199|0|4680|0|22519|648956
29270|N/A|0|0|0|0|0|649002
29271|NONE|0|0|0|0|0|649135
29274|IBEW 146 CREDIT UNION|25226||5834||19392|649199
29277|REPUBLIC BANK (MORTGAGE)|4513922||177045||4336877|649222
29278|REPUBLIC BANK (MORTGAGE)|812506||31650|218|780638|649222
29279|REPUBLIC BANK (TERM LOAN)|16440||16440||0|649222
29280|REPUBLIC BANK (L.O.C.)|500000||0||500000|649222
29281|AFSCME (TERM LOAN)|920188|||123606|796582|649222
29282|ALLY/GM FIN (AUTO LOANS)|73639|35798|21730|49750|37957|649222
29283|UFCW C.U. (AUTO LOANS)|45271|64267||15814|93724|649222
29284|HEWLETT PACKARD FIN|19082||11854||7228|649222
29289|NONE|0|0|0|0|0|649436
29290|State Farm Bank|3953|0|3343|0|610|649552
29291|NA|0|0|0|0|0|649585
29292|ALLY AUTO- BANK|0|33186|2437||30749|649654
29293|FORD CREDIT- AUTO FINANCER|0|35828|6234||29594|649654
29294|FORD CREDIT-AUTO FINANCER|0|35656|6245||29411|649654
29295|ALLY AUTO-BANK|0|29093|5157||23936|649654
29296|ALLY AUTO-BANK|0|28530|5098||23432|649654
29297|ALLY AUTO-BANK|0|4538|4538||0|649654
29298|ALLY AUTO-BANK|0|42316|3073||39243|649654
29299|Auto Loan - Canandaigua National Bank|6146||5262||884|649666
29300|Auto Loan - Canandaigua National Bank|10403||4848||5555|649666
29301|Auto Loan - Canandaigua National Bank|14167||4843||9324|649666
29302|Auto Loan - Canandaigua National Bank|32662||7940||24722|649666
29303|ALLY - 2015 MALIBU|39698||13793||25905|649732
29304|ALLY - 2015 SILVER IMPALA|45284||11304||33980|649732
29305|ALLY 2016 BLACK MALIBU||39698|8694||31004|649732
29306|ALLY 2016 IMPALA RED||37536|7071||30465|649732
29307|ALLY - 2017 BLACK IMPALA||35901|626||35275|649732
29308|ALLY - 2016 WHITE MAILBU||42199|711||41488|649732
29309|ALLY 2016 SILVERADO||37125|||37125|649732
29310|Auto loan|14802||14802||0|649732
29314|National Postal Mail Handlers Union|16232|||16232|0|649905
29315|Bonney, Allenburg & O'Reilly|654|0|654|0|0|649909
29318|N/A|0|0|0|0|0|650173
29327|Per Capita - SEIU|829609|0|60000|0|769609|650559
29328|Line of Credit at BB&T|18210|13392|6000|0|25602|650560
29329|Credit Card from BB&T|8118|2887|6000|0|5005|650560
29330|Line of Credit From Health & Welfare|19642|0|1000|0|18642|650560
29340|DE LAGE LANDEN |16938|0|10151|0|6787|652557
29342|SERVICE EMPLOYEES INTERNATIONAL UNION|2775000|0|0|0|2775000|652726
29343|NPWU PROTECH|6100|0|0|0|6100|652729
29344|Teamsters International Union|291000|0|0|0|291000|652793
29345|Baytree Nat'l Bank & Trust|5492||5492||0|653128
29356|N/A|0|0|0|0|0|653441
29357|Transportation Workers|0|50000|50000|0|0|653722
29358|COOP. CASA DEL TRABAJADOR|2382|25000|3731||23651|653838
29359|DE LAGE LANDEN FINANCIAL|393|0|393||0|653838
29360|VEGA COOP. - MORTGAGE|546970|0|27289|0|519681|653838
29377|TWU OF AMERICA|7002|0|4159|0|2843|654568
29396|LOAN PAYABLE|5249636||61245||5188391|655101
29407|Lake Trust Credit Union|87439|0|87439|0|0|655261
29423|LOAN - JOSEPH SENESE|1124|0|0|0|1124|655429
29424|NORTHBROOK LOAN - 005|353228|0|90168|0|263060|655429
29425|NORTHBROOK LOAN - 006|183328|0|45837|0|137491|655429
29426|LOAN - LOCAL 707|1072465|174530|92601|0|1154394|655429
29470|BANK OF AMERICA|406640||127509|0|279131|655845
29471|ALARIA CAPITAL GROUP|0|15814|543|0|15271|655845
29472|DeLage|0|77532|14214|0|63318|655845
29479|NONE|0|0|0|0|0|655927
29574|Line of Credit Suntrust Bank|3448974|55331024|58779998|0|0|656483
29575|Line of Credit Suntrust Bank|9125000|0|9125000|0|0|656483
29688|NPWU PROTECH|4214|0|0|0|4214|656829
29689|TRUCK DRIVERS, CHAUFFEURS & WHSEMEN|2616052|406960|15174|0|3007838|656829
29690|NPWU INSURANCE FUND|37950|14496|||52446|656829
29691|NPWU|245631|0|0|0|245631|656829
29707|NONE|0|0|0|0|0|657336
29736|NONE|0|0|0|0|0|658366
29743|N/A|0|0|0|0|0|658650
29744|NONE|0|0|0|0|0|658664
29843|GENERAL ELECTRIC CREDIT UNION|30047|0|5163|0|24884|661167
30014|NONE|0|0|0|0|0|665234
30069|De Lage Landen|1960|0|842|0|1118|666086
30122|ADSCME LOCAL 189|56666|0|20000|0|36666|666741
30382|Ford Credit||24177|1750||22427|668863
30602|FORD MOTOR COMPANY 1|21607|0|7315|0|14292|670730
