OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
30311|FORD CREDIT (12 AUTOMOBILES)|0|222861|222861|0|0|668420
30313|none|0|0|0|0|0|668430
30314|0|0|0|0|0|0|668433
30315|0|0|0|0|0|0|668433
30316|0|0|0|0|0|0|668433
30317|0|0|0|0|0|0|668433
30318|0|0|0|0|0|0|668433
30319|0|0|0|0|0|0|668433
30320|0|0|0|0|0|0|668433
30321|0|0|0|0|0|0|668433
30322|0|0|0|0|0|0|668433
30323|0|0|0|0|0|0|668433
30324|0|0|0|0|0|0|668433
30325|0|0|0|0|0|0|668433
30326|N/A|0|0|0|0|0|668457
30327|NONE|0|0|0|0|0|668458
30328|Ford Motor Credit|0|42927|42927|0|0|668459
30329|Ford Motor Credit|31461|61232|39625|0|53068|668469
30330|NONE|0|0|0|0|0|668478
30331|NONE|0|0|0|0|0|668483
30332|SEIU International|375000|0|0|0|375000|668484
30333|Ally Bank|41598|0|41598|0|0|668495
30334|Lincoln Financial|0|35912|2261|0|33651|668495
30335|GM Financial|0|29118|1729|0|27389|668495
30336|NONE|0|0|0|0|0|668509
30337|N/A|0|0|0|0|0|668517
30338|First Tennessee|138688|0|5412|0|133276|668532
30339|NONE|0|0|0|0|0|668559
30340|NONE|0|0|0|0|0|668568
30341|AUTO LOAN - ALLY|12999|0|1397|11602|0|668572
30342|AUTO LOAN - ALLY|13496|0|6606|0|6890|668572
30343|AUTO LOAN - ALLY|13738|0|6798|6940|0|668572
30344|AUTO LOAN - ALLY|14825|0|5999|0|8826|668572
30345|AUTO LOAN - ALLY|0|26956|4168|0|22788|668572
30346|AUTO LOAN - ALLY|0|18310|0|0|18310|668572
30347|FIRST BANK AND TRUST|28263||12782||15481|668575
30348|GMAC|16346||16346||0|668575
30349|FORD MOTOR CO|7767||7767||0|668575
30350|FIRST BANK AND TRUST|25371||9874||15497|668575
30351|FIRST BANK AND TRUST|0|45623|0||45623|668575
30352|ALLY CREDIT|77156||71385||38974|668597
30353|WELLS FARGO |27000||7200||19800|668597
30578|Horizon Bank|16377||4590||11787|670687
30355|NONE|0|0|0|0|0|668629
